Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2008","2008","tonnes","8015000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2009","2009","tonnes","8623080","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2010","2010","tonnes","9638000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2011","2011","tonnes","7464000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2012","2012","tonnes","7922000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2013","2013","tonnes","10090000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2014","2014","tonnes","11146630","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2015","2015","tonnes","11702000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2016","2016","tonnes","11581000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2017","2017","tonnes","11419000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2018","2018","tonnes","12545000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2019","2019","tonnes","13403000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1804","Citrus Fruit, Total","2020","2020","tonnes","13979000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1961","1961","tonnes","13573500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1962","1962","tonnes","13838900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1963","1963","tonnes","14084200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1964","1964","tonnes","14318600","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1965","1965","tonnes","15079400","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1966","1966","tonnes","15653300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1967","1967","tonnes","15835200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1968","1968","tonnes","16072000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1969","1969","tonnes","16210800","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1970","1970","tonnes","16083680","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1971","1971","tonnes","16959106","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1972","1972","tonnes","16782667","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1738","Fruit Primary","1973","1973","tonnes","17096718","E","Estimated value"
