Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1983","1983","tonnes","1675486","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1984","1984","tonnes","1851999","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1985","1985","tonnes","2226363","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1986","1986","tonnes","2934819","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1987","1987","tonnes","3746860","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1988","1988","tonnes","3119523","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1989","1989","tonnes","5130659","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1990","1990","tonnes","5383941","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1991","1991","tonnes","6875552","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1992","1992","tonnes","5685972","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1993","1993","tonnes","7068163","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1994","1994","tonnes","7273810","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1995","1995","tonnes","8697294","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1996","1996","tonnes","8919909","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1997","1997","tonnes","10596701","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1998","1998","tonnes","9072063","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","1999","1999","tonnes","11273592","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1804","Citrus Fruit, Total","2000","2000","tonnes","9235844","E","Estimated value"
